Length	GC
1176248	30.1007100543
2585879	32.726782653
938869	31.6201727824
2908964	60.7258116635
6530257	29.5414100854
4576573	51.9912388593
5011796	49.0884904334
2485519	53.556058111
4926954	54.2720106581
6361416	63.8265914381
4680996	52.1747508436
2388435	43.4002181345
3311395	67.7602339799
6476147	67.5140017668
4561137	68.0530315139
3193112	44.6217044689
4369828	35.6224547053
2308962	44.3166236603
2846546	32.8765106905
4887379	67.8286869097
3079044	49.5389802809
4042929	67.1716470905
4386396	67.8183410709
2600578	43.5778123171
1892744	32.2584565055
3123558	36.2573065715
1042811	41.3089236688
2785024	71.6275335509
1558445	29.5999538001
2339898	48.3426200629
816583	40.0085478145
3655731	65.7034940481
4142990	27.9828577911
6334075	62.4025449651
4105955	46.2386947738
1840041	37.6150314042
2147416	35.6544796164
905638	28.3635403991
3938396	56.56856243
2860508	32.8471376413
2138694	35.5472077819
2547720	28.8556827281
1667602	30.2994359565
3504335	74.1817777125
6327754	66.5042762408
4411709	65.6159551775
5928787	58.0150206105
977322	29.3003738788
2906670	38.026951804
1168150	39.0552583144
4121005	55.9077458047
2873437	58.0721623617
4107448	67.7058601837
3475523	57.0472415231
1744827	38.5112678793
1481598	41.6446971446
3735181	41.5022993531
4386422	65.5794175754
2498766	60.0335925813
2555556	27.9173299274
4755838	52.2485206603
3986480	35.6162830367
3120143	54.727780105
4709033	52.164743802
4232633	62.2970382738
4395035	44.8600295561
1552931	34.7518981848
2522885	60.0732098372
4366950	34.1868810039
1841551	31.3485751956
2864304	57.5400516146
4757879	64.8913728155
11048835	69.9626974247
2919720	32.7837600866
1150228	31.0137642276
1658482	31.9966089472
4912959	52.1744838498
607835	25.7945001522
2176678	51.4611715651
1257710	32.4674209476
4006639	39.0744461879
898495	28.5096745113
3225748	70.4765840357
1038864	41.3282200558
4885378	50.7978092995
4660922	52.2123948867
3814080	42.5081802165
4102186	67.7103622313
5373644	61.4389788382
2023580	42.0664367112
1938709	60.4821043282
4103696	67.7048689766
2872781	32.7501817925
1641481	30.5486326068
3657276	62.7209978137
2349476	60.8471420862
1846503	38.1627324732
4102311	67.709176608
2038146	41.3157840508
934379	26.9537307666
243933	22.4930616194
2292716	59.5610184602
5243376	35.466195825
4106377	67.7067643814
5008292	63.9246473648
5029329	74.7164880245
4587366	66.0113886705
4246390	65.8769684367
2657893	41.9156452122
3268071	57.7974897118
3671982	62.7878350166
2095698	41.1133665251
4106491	67.7053961643
1635627	30.3744068788
825824	26.9540483202
2405559	50.989395812
5864546	45.1589603014
4105333	67.7078570727
2932225	61.3186232298
2785056	34.3415715878
5292526	35.4272043255
4115775	67.6951971378
6812473	44.2148541359
4619729	50.7903385675
1176890	30.1047676503
3532052	63.1346027748
5474890	50.5399377887
4424308	61.7197084832
4951791	63.6783135637
4056281	43.8528543757
1044459	41.3026265272
4345492	65.6329824103
2172287	38.2460973159
3598621	40.4295701048
3570858	63.1426116636
2367880	52.0949963681
1945310	32.3236913397
4706165	47.4702225698
2431533	40.2646396327
8783278	74.1975034833
1612586	30.6503963199
3076856	51.6699189042
8308430	72.6448318154
1604212	38.9640521328
6264404	66.5557329955
821930	30.963464042
4069641	46.3658096623
6833117	63.3170630621
2335639	35.2967646113
1726519	41.229607088
4678687	52.1720516889
7036071	62.7470643773
351911	59.2862968194
4110604	67.7027268985
1900521	38.5926806386
2988332	67.6050385299
2145899	36.7880780969
5962570	60.0317648262
1072950	40.3366419684
5009900	50.7506537057
1046171	41.3137049297
3929787	46.4990341716
4652873	44.7485026993
2719261	32.8481524944
678592	26.3772635103
1758337	30.4744198638
2203222	59.2981097683
3818478	60.9054969022
4103349	67.7082792616
4106388	67.7068265347
4402109	41.2655388588
1869644	46.2489650436
3147090	63.1399801086
4411515	65.6143297711
4279159	60.219473032
3307740	73.8877299909
2169860	38.7236964597
5183331	69.4610087606
2766400	61.6903195489
3005352	37.9904250817
4847776	57.48122438
4195195	43.5513486262
3741804	41.5166855346
4799793	52.262462152
4106381	67.7065523146
4926837	42.1426160435
3873116	43.8911202246
909921	28.5863278241
2146480	55.4132812791
5030841	50.3965639145
2462499	61.3954360997
7170504	73.3400608939
5400658	57.3029619724
3192293	46.3135745998
3837060	59.8787092201
4833228	50.749788754
4190134	43.3223137971
1615277	34.7566392637
4605545	53.4475072983
4757528	59.1710442902
1570564	38.8296815666
