Length	GC
67188	68.9632077157
39472	48.6420753952
26504	30.2595834591
76276	50.6528921286
29371	53.9818188009
5577	45.9207459207
68375	66.5009140768
5577	45.9386767079
42608	47.0146451371
55060	58.1347620777
46339	44.5736852327
53460	44.9326599327
76944	63.018558952
37270	66.8017171988
45206	54.4573729151
92338	49.3177240139
5577	45.9028151336
142348	30.4247337511
39568	46.2823493732
41903	66.5918907954
52924	61.8641826015
36499	64.4072440341
45428	45.7493176015
5577	45.9566074951
155299	64.6662245089
33594	43.9185568852
47319	44.2380439147
179043	40.2791508185
157034	64.6560617446
168402	35.3736891486
170770	35.3024535926
54015	33.4703323151
43012	53.292104529
72583	42.8833197856
5577	45.9566074951
50255	67.8340463635
97065	29.2741977026
61388	49.8175539193
45554	49.6773060544
35327	32.4284541569
31841	34.9706353444
56669	61.2080679031
33828	48.1701549013
52350	62.5195797517
50636	67.1143060273
167678	35.3821014087
68293	66.4606914325
39474	65.9497390688
5577	45.9386767079
43788	49.7053987394
40289	35.8311201569
60875	49.1170431211
44306	68.0652733264
41803	33.7583427027
166313	39.5988287145
73882	59.8887415067
53124	63.4270762744
51138	60.9155618131
